id,deliverable,criterion,points,needs,activities
PR-1,Proposal,"Organization and formatting",5,"Template structure, YAML with title and all five names, placeholder text deleted, renders clean","P07;P08"
PR-2,Proposal,"Abstract",5,"Product, the attributes that set it apart, the research questions","P03;P06"
PR-3,Proposal,"Introduction",5,"Product description and background with a picture or diagram, referenced in the text","P03;P06"
PR-4,Proposal,"Market opportunity",10,"Customer and how the survey reaches them; competitors and their attributes; annual market size with scope, references and growth","P01;P06"
PR-5,Proposal,"Product attributes",10,"Major attributes described with metrics and level ranges, labelled on the diagram, summarised in a table that also shows competitors' features","P02;P06"
PR-6,Proposal,"Research questions",10,"Two to three design questions, rationale, tied to the attributes","P02;P06"
PR-7,Proposal,"Other questions",5,"At least three outstanding questions with how they will be answered","P03;P06"
PR-8,Proposal,"Writing quality",5,"Clear, concise, logically structured; spell-checked; figures referenced","P06;P07"
SP-1,Survey plan,"Organization and formatting",5,"YAML with title and names, template text deleted, survey_plan.qmd compiles to HTML","SP05"
SP-2,Survey plan,"Target population",10,"Ideal pool, fallback, exact eligibility question text, distribution strategy (course default: Prolific U.S. general population), any subpopulation or alternative channel","SP02"
SP-3,Survey plan,"Attributes and levels",10,"The choice question text respondents will read; a table of attributes, levels and units","SP01;SP03"
SP-4,Survey plan,"Survey content",10,"Welcome text; consent with the 18-plus requirement and the understanding statement; plain-language attribute descriptions; critical respondent information; other questions; all as exact text","SP04"
PS-1,Pilot survey,"Organization and formatting",5,"Template files in 3-pilot-survey/: survey.qmd, code/1_make_choice_questions.R, data/choice_questions.csv, app.R, images/","PS02;PS03;PS07"
PS-2,Pilot survey,"Survey content",10,"Welcome, screening, education, randomised conjoint block, demographics; skip logic correct","PS03"
PS-3,Pilot survey,"Conjoint questions",10,"Randomised choice questions render without error","PS02;PS05"
PS-4,Pilot survey,"surveydown",10,"Whole survey renders, is completable to the end, and stores responses (Supabase); deployed on shinyapps.io","PS04;PS05"
PA-1,Pilot analysis,"Organization and formatting",5,"4-pilot-analysis/ with report.qmd, clean-data.R, modeling.R, power-analysis.R, data/","PA02;PA03;PA04;PA07"
PA-2,Pilot analysis,"Pilot analysis",10,"sd_get_data() download, raw data saved, cleaned to long format, preliminary models, power analysis; code reproducible","PA02;PA03;PA04"
PA-3,Pilot analysis,"Report contents",15,"Abstract; introduction; survey design (eligibility, respondent info, education, attributes and levels justified, alternatives and questions per respondent, the no-choice option, an example question screenshot); sample description; cleaning counts; modeling with the utility model in LaTeX, coefficient table with standard errors and plots; power analysis figure; changes for the final survey","PA05;PA06"
PA-4,Pilot analysis,"Appendix",5,"Complete survey copy including one example conjoint question","PA06"
FS-1,Final survey,"Organization and formatting",5,"5-final-survey/ with the full template set","FS03"
FS-2,Final survey,"Survey content",10,"Compiles without error; every referenced file on the web; the pilot report's changes applied","FS01;FS02"
FS-3,Final survey,"Conjoint questions",10,"Render without error on the live survey","FS01;FS02"
FS-4,Final survey,"surveydown",10,"No errors to completion; eligibility requirements written in survey.qmd for the professor's pre-screen","FS02;FS03"
FA-1,Final analysis,"Organization and formatting",5,"6-final-analysis/ with report.qmd, clean_data.R, modeling.R, analysis.R; every figure, table and equation referenced","FA05;FA06"
FA-2,Final analysis,"Data analysis",15,"Simple logit on all attributes; mixed logit with random parameters; a sub-group comparison; WTP per attribute with 95 percent CIs and plots; market simulation against competitors with CIs; sensitivity to price and attributes with a tornado plot; fully reproducible","FA01;FA02;FA03;FA04;FA07"
FA-3,Final analysis,"Report contents",15,"Abstract; introduction with visuals; survey design with the changes from the pilot and an example question; data analysis (sample, cleaning, modeling with LaTeX and standard errors); results; recommendations and conclusions; limitations; attribution","FA05"
FA-4,Final analysis,"Appendix",5,"Full survey copy and supplementary material","FA05"
PT-1,Presentation,"Slide design",10,"Class design guidelines, numbered slides, title slide with project title, names and date, not bullet-heavy","PR01"
PT-2,Presentation,"Content",15,"Product introduction; an example choice question slide; a sample statistics slide; the utility model; polished WTP, simulation and sensitivity charts; an attribute table for each simulation; recommendations grounded in the findings","PR01"
PT-3,Presentation,"Communication",10,"Ten minutes at most, every member presents at least one slide, live in class Dec 9 or a published video sent by Slack DM","PR02;PR03;PR04"
XX-1,Every deliverable,"Attribution section",0,"Each member's contributions, or 'All members contributed equally'; the professor grades non-contributors differently","O03"
XX-2,Every deliverable,"Team size and repo access",0,"Teams of three to four; every member on the official repo","S05"
