id,date,decision,status,rationale,source,activities
D01,2026-09-09,"Team of five: Harshit, Michael, Vlad, Ishita, Youssouf",Decided,"Formed by the week 3 deadline; the course guideline says three to four, so the size is being confirmed with the professor","Team",S05
D02,2026-09-15,"Topic: Smart Urban Living, a Smart Urban Apartment Package for modern multifamily rentals, studied with a choice-based conjoint among renters",Decided,"Configurable smart-home technologies and technology-enabled amenities in an otherwise comparable apartment; the question is which features to include and what renters will pay for them","Proposal v1",P03
D03,2026-09-15,"The survey respondent is the renter; the package's buyer is the developer or operator",Decided,"Renters, not homebuyers, because rental and purchase decisions carry different financial commitments; the proposal should state both roles in one sentence","Proposal v1 and the Sep 16 review",P06
D04,2026-09-15,"Six attributes: monthly premium, smart access and security, smart climate control, smart lighting, package management, EV charging access",Decided,"Features a developer or manager can modify; neighbourhood, size, bedrooms and condition held equal across alternatives. Whether lighting or EV charging survive the pilot, and whether security splits into lock and video, stay open","Proposal v1",P02;SP01
D05,2026-09-15,"Price as a monthly premium over a comparable standard apartment, draft levels $0, $25, $50, $75",Open,"The review flags the zero level (a free fully smart package becomes a valid profile) and the missing base-rent anchor; the survey plan locks the levels after the workshop","Proposal v1 and the Sep 16 review",SP01
D06,2026-09-15,"Three research questions: which features most influence choice; willingness to pay per feature; which bundle at which premium gives the strongest value proposition",Decided,"RQ1 from the relative size of coefficients, RQ2 from coefficient ratios to price, RQ3 from a market simulation of package tiers","Proposal v1",P02
D07,2026-09-15,"Distribution: the proposal names the GWU community and personal and professional networks; the course default is Prolific U.S. general population with an eligibility pre-screen, and the pilot is taken by classmates",Open,"The survey plan (Sep 29) has to state the strategy and the exact eligibility text; the two are reconcilable (Prolific for the final, networks as a supplement) but the plan must say so","Proposal v1 and the survey plan page",SP02
D08,2026-09-16,"Two repos: a private brainstorming repo under one member's account, and the official submission repo in the course organisation",Decided,"Ideas, decisions and meeting notes stay in the brainstorming repo; every deliverable is pushed from the official repo's numbered folders","Team",S03;S04
D09,2026-09-16,"Owners and backups per deliverable",Open,"To be assigned at the next sync; every member submits at least once","Team",S06
D10,2026-09-16,"Design parameters: alternatives per choice question, questions per respondent, whether to include a no-choice option",Open,"Needed for the design file (cbc_design) and reported in the pilot analysis; decided when the survey plan is written","Course pages",SP03;PS02
D11,2026-09-16,"Argument for the emerging and pre-commercial criteria: the unresolved design decision is which features to bundle at what premium for mid-market and retrofit stock, and no public source gives tradeoff-based willingness to pay per feature",Proposed,"To be tested at the proposal workshop; if the professor asks to narrow scope, the fallback is to drop lighting or EV charging or to focus on retrofit packages","Sep 16 review",P05;P06
D12,2026-09-16,"Competitor set for the final market simulation: the real products benchmarked in the proposal's attribute table, with their premiums",Open,"The final analysis simulates the package against competitors; the benchmark table written for proposal v2 is the source","Sep 16 review",P06;FA07
