id,phase,activity,owner,start,due,deadline,depends_on,status,pct,deliverable,notes
S01,Setup,"Form the team on the team-formation sheet",Team,2026-08-26,2026-09-10,,,Done,100,,"Five members; the course guideline says three to four, so the size is confirmed with the professor under S05"
S02,Setup,"Choose the topic against the seven selection criteria",Team,2026-09-02,2026-09-14,,S01,Done,100,,"Smart Urban Living: a Smart Urban Apartment Package for multifamily rentals, settled with the proposal draft of Sep 15"
S03,Setup,"Create the brainstorming repo from the local scaffold and invite every teammate",Harshit,2026-09-09,2026-09-18,,S01,In progress,60,,"Repo created and pushed Sep 16; two invitations out, two still to send"
S04,Setup,"Everyone accepts the official team repo invitation and clones it",Team,2026-09-10,2026-09-18,,S01,In progress,80,,"The professor created the official repo Sep 10; four of five members are on it"
S05,Setup,"Ask the professor to add the fifth member to the official repo and confirm the team size",Team,2026-09-16,2026-09-18,2026-09-20,S01,Not started,0,,"Only an org admin can add a collaborator; the proposal carries five names, so this is settled before submission"
S06,Setup,"Fill TEAM.md and the team page: one owner and one backup per deliverable, meeting cadence",Team,2026-09-16,2026-09-23,,S01,Not started,0,,"Owners are TBD until the team assigns them at a sync"
S07,Setup,"Decide who owns the shinyapps.io account and the Supabase project",Team,2026-09-24,2026-10-02,,S06,Not started,0,,"Keys stay in that person's .Renviron, never in any repo"
P01,Proposal,"Market opportunity research: customer, competitors, market size",Team,2026-09-09,2026-09-14,,S02,Done,100,Proposal,"Draft carries Rently 2025 and Yardi Matrix Q2 2026 figures, both verified Sep 16; references still to be added under P06"
P02,Proposal,"Attributes and levels table, product diagram, and the three research questions",Team,2026-09-09,2026-09-14,,S02,Done,100,Proposal,"Six attributes: monthly premium, access and security, climate, lighting, package management, EV charging"
P03,Proposal,"Draft proposal.qmd v1 and render it",Teammate,2026-09-12,2026-09-15,,P01;P02,Done,100,Proposal,"Rendered Sep 15 with all five names in the YAML"
P04,Proposal,"Review the draft against the 55-point rubric and log the findings",Harshit,2026-09-16,2026-09-16,,P03,Done,100,Proposal,"Findings in the Sep 16 dev log post: five blocking fixes, seven improvements, one fit risk"
P05,Proposal,"Proposal workshop meeting with the professor (remote, week 4)",Team,2026-09-16,2026-09-18,,P03,Not started,0,,"Book through the professor's scheduling link; bring the emerging-product argument"
P06,Proposal,"Revise to v2: remove AI paste artifacts, fix cross-ref and heading levels, add references, benchmark real competitors with prices, quantify the retrofit market, rework price levels, argue the fit",Team,2026-09-16,2026-09-18,,P04,In progress,10,Proposal,"The fix list exists; the edits are in the teammate's .qmd"
P07,Proposal,"Move the proposal into the official repo (1-proposal/proposal.qmd, image in images/), apply the workshop feedback, render, spell-check",Submitter,2026-09-19,2026-09-19,,P05;P06,Not started,0,Proposal,"spelling::spell_check_files(); delete leftover template text; update the date"
P08,Proposal,"Final read-through by a second member, commit and push the proposal",Submitter,2026-09-20,2026-09-20,2026-09-20,P07;S04,Not started,0,Proposal,"Official due date Sun Sep 20, 11:59 pm. Zero float: the workshop sits in the same week"
SP01,Survey plan,"Lock the attribute list and levels after the workshop: units, price levels with a base-rent anchor, one-line level definitions",Team,2026-09-21,2026-09-23,,P08,Not started,0,Survey Plan,"Decide whether security splits into lock and video, and whether EV charging stays a full attribute"
SP02,Survey plan,"Target population, fallback, and the exact eligibility question text",Team,2026-09-21,2026-09-24,,P08,Not started,0,Survey Plan,"Default: paid U.S. Prolific respondents who rent or expect to rent within two years"
SP03,Survey plan,"Choice question text and the attributes-and-levels table",Team,2026-09-24,2026-09-26,,SP01,Not started,0,Survey Plan,"Rubric: Attributes and Levels 10 pts"
SP04,Survey plan,"Survey content as exact text: welcome, consent (18 plus, 'I have read and understand'), education per attribute, respondent info, other questions",Team,2026-09-27,2026-09-28,,SP02;SP03,Not started,0,Survey Plan,"Include the privacy and EV-ownership questions from the proposal's open questions"
SP05,Survey plan,"Assemble survey_plan.qmd, render, spell-check, commit and push",Submitter,2026-09-29,2026-09-29,2026-09-29,SP04,Not started,0,Survey Plan,"Official due date Tue Sep 29"
SP06,Survey plan,"Sign up for the survey-plan meeting with the professor (week of Oct 7)",Team,2026-09-30,2026-10-06,,SP05,Not started,0,,"Sign-up is announced in the course Slack"
PS01,Pilot survey,"Learn the surveydown conjoint-buttons template; run the sample app locally",Team,2026-09-30,2026-10-03,,SP05,Not started,0,Pilot Survey,"Class 6 (Sep 30) introduces surveydown; HW4 covers the basics"
PS02,Pilot survey,"code/1_make_choice_questions.R: generate data/choice_questions.csv with cbc_design",Team,2026-10-04,2026-10-07,,SP03;PS01,Not started,0,Pilot Survey,"Randomised choice sets must render live without error"
PS03,Pilot survey,"Build survey.qmd from the plan text: welcome, consent, screening, education, conjoint block, other questions",Team,2026-10-04,2026-10-08,,SP04;PS01,Not started,0,Pilot Survey,"Replace every placeholder; render often"
PS04,Pilot survey,"Connect the Supabase project and confirm responses are stored",Account owner,2026-10-09,2026-10-10,,S07;PS03,Not started,0,Pilot Survey,"Keys in .Renviron only"
PS05,Pilot survey,"Deploy to shinyapps.io; end-to-end test on a phone and a laptop",Account owner,2026-10-11,2026-10-12,,PS02;PS04,Not started,0,Pilot Survey,"Rubric: Deployment 10 pts"
PS06,Pilot survey,"Survey-plan meeting with the professor (week of Oct 7)",Team,2026-10-07,2026-10-09,,SP06,Not started,0,,"Bring the draft choice question and the design file"
PS07,Pilot survey,"Push the pilot survey folder and confirm the live link",Submitter,2026-10-13,2026-10-13,2026-10-13,PS05,Not started,0,Pilot Survey,"Official due date Tue Oct 13"
PA01,Pilot analysis,"Classmates take our pilot; we take theirs and fill the feedback sheet (part of HW8)",Everyone,2026-10-21,2026-10-24,,PS07,Not started,0,,"Week 9 class on Oct 21 starts the exchange; most responses land within three days"
PA02,Pilot analysis,"Download with sd_get_data(); save raw data; clean-data.R to long format",Team,2026-10-25,2026-10-26,,PA01,Not started,0,Pilot Analysis,
PA03,Pilot analysis,"modeling.R: preliminary logit, coefficient table with standard errors, coefficient plots, utility model in LaTeX",Team,2026-10-27,2026-10-28,,PA02,Not started,0,Pilot Analysis,"Class 10 (Oct 28) covers estimating pilot models"
PA04,Pilot analysis,"power-analysis.R: standard errors against sample size; choose the final sample size",Team,2026-10-29,2026-10-29,,PA03,Not started,0,Pilot Analysis,
PA05,Pilot analysis,"Triage classmate feedback and list the changes for the final survey",Team,2026-10-25,2026-10-26,,PA01,Not started,0,Pilot Analysis,
