week,date,class_topic,quiz,homework_due,project_due,project_focus,status,progress_note
1,2026-08-26,"Getting Started: orientation, intro to conjoint, R and Positron, project intros",,"HW1 (Mon Aug 31)",,"Meet the project list; start thinking about teams",Done,"HW1 submitted on time"
2,2026-09-02,"Agentic Workflows: GitHub, Claude Code in Positron, modes, skills, working safely",,"HW2 (Mon Sep 8)",,"Team formation open; scout topics against the selection criteria",Done,"In-class agentic exercise: this tracker site was built and published; HW2 submitted"
3,2026-09-09,"Data Wrangling (tidyverse); decision variables vs attributes","Quiz 1 (wks 1-2)",,"Proposal (Sun Sep 20)","Team and topic settled; proposal drafting",Done,"Team of five formed; the professor created the official repo Sep 10; topic chosen: Smart Urban Living; proposal draft v1 rendered Sep 15"
4,2026-09-16,"No lecture: Proposal Workshop, remote team meetings with the professor",,"HW3 (Fri Sep 18)",,"Rubric review of the draft, workshop feedback, revise, move into the official repo, submit by Sun Sep 20",In progress,"Sep 16: brainstorming repo live, official repo joined, draft reviewed against the rubric, tracker replanned with a computed critical path"
5,2026-09-23,"Quarto and Plotting; project scope: attribute levels, target population, competitors","Quiz 2 (wk 3)","HW4 (Mon Sep 28)","Survey Plan (Tue Sep 29)","Survey plan: lock attributes and levels, eligibility text, choice question text, survey content",Upcoming,
6,2026-09-30,"Intro to surveydown; make the survey plan",,"HW5 (Mon Oct 5)","Pilot Survey (Tue Oct 13)","Learn the surveydown template; sign up for the survey-plan meeting",Upcoming,
7,2026-10-07,"Conjoint Questions: cbc_design, labeled vs unlabeled, surveydown","Quiz 3 (wk 5)","HW6 (Mon Oct 12)",,"Design file (choice_questions.csv); survey.qmd; Supabase; deploy to shinyapps.io",Upcoming,
8,2026-10-14,"Utility Models; finish pilot survey",,"HW7 (Mon Oct 19)",,"Pilot survey live; fix anything the professor flags",Upcoming,
9,2026-10-21,"Optimization and MLE; everyone takes everyone else's pilot survey","Quiz 4 (wk 8)","HW8 (Mon Oct 26)","Pilot Analysis (Sun Nov 1)","Collect classmate responses and feedback; start cleaning",Upcoming,
10,2026-10-28,"Uncertainty; pivoting; cleaning pilot data; estimating pilot models",,"HW9 (Mon Nov 2)",,"Preliminary models, power analysis, pilot report",Upcoming,
11,2026-11-04,"DOE and Power Analysis; refine attributes and levels, sample size","Quiz 5 (wk 9)","HW10 (Mon Nov 9)","Final Survey (Sun Nov 15)","Apply pilot lessons to the final survey; scaffold the final analysis scripts",Upcoming,
12,2026-11-11,"WTP and Simulation; finalize final survey",,"HW11 (Mon Nov 16)",,"Final survey deployed; eligibility text ready; confirm the Prolific launch date",Upcoming,
13,2026-11-18,"Heterogeneity: mixed logit and sub-group models","Quiz 6 (wk 12)","HW12 (Sun Nov 22)","Final Analysis Report (Sun Dec 6)","Survey in the field; analysis scripts ready to re-run",Upcoming,
14,2026-11-25,"Thanksgiving, no class; final survey fielding",,"HW13 (Sun Nov 29)",,"Data collection on Prolific; clean as data lands",Upcoming,
15,2026-12-02,"Final Exam (45 min), exam solutions, what goes in the final report, how to give a talk",Exam,,,"Models, WTP, simulation, sensitivity, report",Upcoming,
16,2026-12-09,"Final Presentations: in-class showcase with Q and A",,,"Final Presentation (Tue Dec 8)","Slides, rehearsal, present",Upcoming,
