id,risk,phase,likelihood,impact,trigger,response,owner,status,activities
R01,"Fifth member is not on the official repo and the course guideline says teams of three to four; a five-name proposal submitted from a repo he cannot access raises questions",Proposal,High,High,"Still missing from the official repo on Sep 18","Ask the professor at the workshop meeting to add him and to confirm the team size",Team,Open,S05
R02,"Draft carries AI paste artifacts and no references; the professor spots them at once and the Organization and Writing points go",Proposal,High,Medium,"Artifact string or chatgpt link still in the .qmd at render","Blocking-fix list in the Sep 16 review; a second reader checks the rendered HTML before the push",Team,Open,P06;P07
R03,"The professor challenges the topic on the emerging and pre-commercial criteria (smart locks and thermostats are common in new Class A buildings) and asks the team to narrow scope",Proposal,Medium,High,"Pushback at the workshop meeting","Lead with the design-decision argument: which features to bundle at what premium for mid-market and retrofit stock; no public tradeoff-based WTP exists; be ready to drop lighting or EV charging",Team,Open,P05;P06
R04,"Price attribute mis-specified: a zero-dollar premium makes a free smart package a valid profile and there is no base-rent anchor, so the WTP estimates are biased",Survey plan,Medium,High,"Design file generated with the draft levels","Fix in SP01: reserve zero for the standard-apartment reference or shift the range; show a base rent in every choice task",Team,Open,SP01;SP03
R05,"Six attributes at three to four levels each overloads respondents and the pilot standard errors are too wide to size the final sample",Pilot analysis,Medium,Medium,"Pilot coefficient standard errors dwarf the estimates","Pilot with the full set; drop or merge the weakest attribute (lighting is the likely candidate) in FS01",Team,Open,PA03;PA04;FS01
R06,"Survey hosting breaks: Supabase not connected, shinyapps deploy fails, or a key leaks into the repo",Pilot survey,Medium,High,"Responses not stored in a test run; a key in a diff","Assign the account owner by Oct 2 (S07); keys in .Renviron only; end-to-end test on Oct 12 at the latest",Account owner,Open,S07;PS04;PS05
R07,"Weeks 9 to 13 stack HW8 to HW12, three quizzes and three deliverables; the pilot-to-final handoff has one day of float",Final survey,High,Medium,"Any pilot-analysis activity slips past its planned finish","Start cleaning on partial pilot data (PA02); triage feedback in parallel (PA05); owners agree a weekly time budget before Oct 21",Team,Open,PA02;PA05;FS01
R08,"Prolific fielding starts late or runs long over Thanksgiving, leaving days rather than weeks between the final data and the Dec 6 report, with the Dec 2 exam in between",Final analysis,Medium,High,"Launch not confirmed by Nov 11; fewer than the target responses by Nov 25","Confirm the launch date at the Nov 11 class; scaffold every script on the pilot data (FA01) so the final run is a re-run",Team,Open,FS04;FA01;FA02
R09,"Uneven contribution; the professor grades non-contributors differently and the Attribution section has to be honest",Ongoing,Medium,Medium,"CONTRIBUTIONS.md shows one or two names for a deliverable","Owner and backup per deliverable (S06); contributions logged weekly (O03); raise it at the sync, not at submission",Team,Open,S06;O03
R10,"Decisions made on WhatsApp never reach the repo and the team re-argues them",Ongoing,Medium,Low,"A decision cannot be found in decisions/DECISIONS.md","Same-day copy rule (O01); the tracker maintainer checks the log at each sync",Harshit,Open,O01
